days,filename
00,GSM13803.cel.gz
10,GSM13806.cel.gz
14,GSM13807.cel.gz
18,GSM13808.cel.gz
20,GSM13809.cel.gz
03,GSM13810.cel.gz
30,GSM13811.cel.gz
35,GSM13812.cel.gz
56,GSM13813.cel.gz
06,GSM13814.cel.gz
08,GSM13815.cel.gz
00,GSM13836.cel.gz
10,GSM13837.cel.gz
14,GSM13838.cel.gz
18,GSM13839.cel.gz
20,GSM13840.cel.gz
03,GSM13841.cel.gz
30,GSM13842.cel.gz
35,GSM13843.cel.gz
56,GSM13844.cel.gz
06,GSM13845.cel.gz
08,GSM13846.cel.gz
